ProductID,StoreID,OnHand_Date,oh
Item975,Loc857,2023-05-12,0.0
Item976,Loc974,2023-05-12,0.0
Item971,Loc875,2023-05-12,0.0
Item968,Loc881,2023-05-12,0.0
Item967,Loc882,2023-05-12,0.0
Item973,Loc857,2023-05-12,0.0
Item136,Loc450,2023-05-12,1.0
Item181,Loc118,2023-05-12,0.0
Item208,Loc118,2023-05-12,0.0
Item584,Loc315,2023-05-12,1.0
Item517,Loc376,2023-05-12,0.0
Item98,Loc232,2023-05-12,2.0
Item98,Loc68,2023-05-12,1.0
Item98,Loc715,2023-05-12,1.0
Item98,Loc680,2023-05-12,1.0
Item98,Loc625,2023-05-12,1.0
Item158,Loc718,2023-05-12,2.0
Item158,Loc658,2023-05-12,2.0
Item158,Loc577,2023-05-12,1.0
Item158,Loc402,2023-05-12,1.0
Item158,Loc360,2023-05-12,1.0
Item158,Loc118,2023-05-12,0.0
Item158,Loc376,2023-05-12,0.0
Item158,Loc94,2023-05-12,0.0
Item158,Loc792,2023-05-12,1.0
Item158,Loc130,2023-05-12,2.0
Item158,Loc99,2023-05-12,0.0
Item158,Loc148,2023-05-12,0.0
Item158,Loc69,2023-05-12,1.0
Item158,Loc749,2023-05-12,0.0
Item158,Loc848,2023-05-12,1.0
Item158,Loc914,2023-05-12,0.0
Item158,Loc841,2023-05-12,1.0
Item158,Loc635,2023-05-12,0.0
Item158,Loc755,2023-05-12,0.0
Item158,Loc799,2023-05-12,3.0
Item860,Loc727,2023-05-12,0.0
Item845,Loc717,2023-05-12,0.0
Item884,Loc735,2023-05-12,0.0
Item881,Loc718,2023-05-12,0.0
Item884,Loc726,2023-05-12,0.0
Item110,Loc313,2023-05-12,1.0
Item973,Loc840,2023-05-12,0.0
Item578,Loc94,2023-05-12,2.0
Item517,Loc100,2023-05-12,0.0
Item520,Loc95,2023-05-12,1.0
Item517,Loc69,2023-05-12,1.0
Item587,Loc69,2023-05-12,2.0
Item969,Loc982,2023-05-12,0.0
Item580,Loc99,2023-05-12,0.0
Item977,Loc911,2023-05-12,0.0
Item587,Loc95,2023-05-12,2.0
Item968,Loc982,2023-05-12,0.0
