to_date(run_date),StoreID,ProductID,sum(advice_qty)
2023-04-26,Loc607,Item135,1.0
2022-12-29,Loc881,Item517,1.0
2022-12-29,Loc881,Item527,1.0
2022-12-30,Loc232,Item103,2.0
2022-12-30,Loc701,Item135,1.0
2023-04-26,Loc81,Item160,1.0
2023-02-08,Loc914,Item524,1.0
2022-12-29,Loc705,Item517,1.0
2023-04-25,Loc471,Item525,2.0
2022-11-25,Loc118,Item407,1.0
2023-04-24,Loc735,Item528,1.0
2023-02-03,Loc497,Item523,1.0
2022-12-29,Loc22,Item517,1.0
2022-12-29,Loc41,Item517,1.0
2023-03-31,Loc829,Item164,2.0
2023-02-10,Loc753,Item467,1.0
2022-12-30,Loc97,Item104,1.0
2023-05-01,Loc857,Item62,1.0
2022-12-08,Loc789,Item40,1.0
2022-11-25,Loc751,Item404,2.0
2022-12-29,Loc841,Item517,1.0
2023-03-31,Loc834,Item137,1.0
2023-02-10,Loc352,Item514,1.0
2023-04-24,Loc149,Item522,1.0
2022-12-29,Loc142,Item519,1.0
2022-12-08,Loc914,Item76,1.0
2022-12-29,Loc140,Item517,1.0
2022-12-30,Loc535,Item103,2.0
2023-04-25,Loc402,Item522,1.0
2022-12-29,Loc6,Item527,1.0
2023-01-13,Loc477,Item38,1.0
2023-04-12,Loc452,Item575,1.0
2023-04-24,Loc813,Item585,1.0
2023-02-09,Loc911,Item105,1.0
2022-12-29,Loc450,Item527,1.0
2022-12-29,Loc488,Item515,1.0
2022-12-09,Loc605,Item160,1.0
2022-11-01,Loc711,Item157,1.0
2022-11-25,Loc726,Item404,1.0
2022-12-30,Loc97,Item110,1.0
2023-02-03,Loc801,Item520,1.0
2023-04-25,Loc749,Item514,1.0
2022-12-29,Loc910,Item517,1.0
2023-02-10,Loc907,Item519,1.0
2022-12-30,Loc625,Item134,1.0
2023-05-01,Loc195,Item74,2.0
2023-04-26,Loc715,Item133,1.0
2023-04-12,Loc789,Item127,2.0
2022-12-29,Loc210,Item519,1.0
2022-12-29,Loc727,Item515,1.0
2023-01-16,Loc525,Item530,1.0
2023-01-16,Loc813,Item521,1.0
2023-04-26,Loc497,Item163,1.0
2023-01-16,Loc477,Item533,1.0
2022-12-29,Loc526,Item517,1.0
2023-03-31,Loc47,Item161,1.0
2022-12-29,Loc802,Item527,1.0
2022-12-29,Loc770,Item527,1.0
2023-02-10,Loc471,Item134,1.0
2023-04-21,Loc104,Item515,1.0
2022-12-29,Loc625,Item527,1.0
2023-02-16,Loc457,Item130,1.0
2022-12-30,Loc149,Item13,1.0
2023-04-24,Loc47,Item522,2.0
2022-11-29,Loc727,Item70,1.0
2023-01-16,Loc477,Item530,1.0
2022-12-30,Loc414,Item135,1.0
2023-02-08,Loc916,Item518,2.0
2023-02-10,Loc477,Item525,1.0
2022-12-29,Loc714,Item517,1.0
2022-12-30,Loc806,Item132,1.0
2023-04-24,Loc658,Item584,2.0
2023-03-31,Loc881,Item164,2.0
2023-02-08,Loc751,Item520,2.0
2022-12-09,Loc914,Item164,2.0
2023-05-01,Loc806,Item74,1.0
2022-11-01,Loc604,Item163,1.0
2022-12-08,Loc27,Item48,1.0
2022-12-30,Loc135,Item517,1.0
2022-12-29,Loc380,Item527,1.0
2022-11-01,Loc761,Item163,1.0
